dataset,split,missing_type,missing_rate,method,lambda,accuracy,balanced_accuracy,f1,roc_auc
biodeg,0,MNAR,0.1,pseudo_labeling,1.0,0.8483412322274881,0.8377007136485282,0.891156462585034,0.909678858162355
biodeg,0,MNAR,0.1,kmeans_majority,1.0,0.8625592417061612,0.8527542372881356,0.9016949152542373,0.9109054415700267
biodeg,0,MNAR,0.1,naive,1.0,0.8436018957345972,0.8344112399643175,0.8873720136518771,0.9103479036574487
biodeg,0,MNAR,0.15000000000000002,pseudo_labeling,1.0,0.8578199052132701,0.8494647636039251,0.8979591836734694,0.9150312221231043
biodeg,0,MNAR,0.15000000000000002,kmeans_majority,1.0,0.8293838862559242,0.8193577163247101,0.8767123287671232,0.9082292595896522
biodeg,0,MNAR,0.15000000000000002,naive,1.0,0.8578199052132701,0.854649866190901,0.8972602739726028,0.9135816235504014
biodeg,0,MNAR,0.2,pseudo_labeling,1.0,0.8483412322274881,0.842885816235504,0.8904109589041096,0.9135816235504014
biodeg,0,MNAR,0.2,kmeans_majority,1.0,0.8530805687203792,0.8513603925066904,0.8934707903780069,0.9146966993755575
biodeg,0,MNAR,0.2,naive,1.0,0.8483412322274881,0.842885816235504,0.8904109589041096,0.9163693131132917
biodeg,0,MNAR,0.25,pseudo_labeling,1.0,0.8341232227488151,0.8433876003568243,0.8771929824561403,0.9051070472792149
biodeg,0,MNAR,0.25,kmeans_majority,1.0,0.8293838862559242,0.8400981266726137,0.8732394366197183,0.905107047279215
biodeg,0,MNAR,0.25,naive,1.0,0.8578199052132701,0.8598349687778769,0.896551724137931,0.9114629794826047
biodeg,0,MNAR,0.30000000000000004,pseudo_labeling,1.0,0.8293838862559242,0.8297279214986619,0.875,0.9051070472792149
biodeg,0,MNAR,0.30000000000000004,kmeans_majority,1.0,0.8530805687203792,0.8461752899197146,0.89419795221843,0.9101248884924175
biodeg,0,MNAR,0.30000000000000004,naive,1.0,0.8483412322274881,0.842885816235504,0.8904109589041096,0.9099018733273863
biodeg,0,MNAR,0.35000000000000003,pseudo_labeling,1.0,0.8388625592417062,0.8414919714540589,0.8819444444444444,0.9106824264049954
biodeg,0,MNAR,0.35000000000000003,kmeans_majority,1.0,0.7298578199052133,0.7813893844781445,0.7799227799227799,0.8901650312221231
biodeg,0,MNAR,0.35000000000000003,naive,1.0,0.8436018957345972,0.8395963425512936,0.8865979381443299,0.9155887600356823
biodeg,0,MNAR,0.4,pseudo_labeling,1.0,0.8151658767772512,0.8354148082069581,0.8602150537634409,0.9035459411239963
biodeg,0,MNAR,0.4,kmeans_majority,1.0,0.8246445497630331,0.8316235504014273,0.8701754385964913,0.8697591436217662
biodeg,0,MNAR,0.4,naive,1.0,0.8436018957345972,0.8499665477252454,0.8850174216027874,0.9124665477252454
biodeg,0,MNAR,0.45,pseudo_labeling,1.0,0.8009478672985783,0.8359165923282783,0.8455882352941176,0.9019848349687778
biodeg,0,MNAR,0.45,kmeans_majority,1.0,0.6824644549763034,0.758864852809991,0.726530612244898,0.8964094558429974
biodeg,0,MNAR,0.45,naive,1.0,0.8009478672985783,0.8255463871543265,0.8478260869565217,0.9058876003568243
biodeg,0,MNAR,0.5,pseudo_labeling,1.0,0.7772511848341233,0.8298394290811775,0.8212927756653993,0.9028768956289028
biodeg,0,MNAR,0.5,kmeans_majority,1.0,0.6492890995260664,0.756578947368421,0.6782608695652174,0.8877118644067797
biodeg,0,MNAR,0.5,naive,1.0,0.7914691943127962,0.8137823371989296,0.8405797101449275,0.9062221231043711
biodeg,0,MNAR,0.55,pseudo_labeling,1.0,0.7345971563981043,0.7950490633363069,0.78125,0.9018733273862622
biodeg,0,MNAR,0.55,kmeans_majority,1.0,0.6350710900473934,0.7311552185548618,0.6695278969957081,0.8766726137377341
biodeg,0,MNAR,0.55,naive,1.0,0.7867298578199052,0.8156779661016949,0.8351648351648352,0.9080062444246209
biodeg,0,MNAR,0.6000000000000001,pseudo_labeling,1.0,0.6066350710900474,0.7114183764495986,0.6343612334801763,0.8626226583407671
biodeg,0,MNAR,0.6000000000000001,kmeans_majority,1.0,0.5402843601895735,0.6549955396966993,0.5529953917050692,0.7372881355932204
biodeg,0,MNAR,0.6000000000000001,naive,1.0,0.7725118483412322,0.8161797502230151,0.8195488721804511,0.903657448706512
biodeg,0,MNAR,0.65,pseudo_labeling,1.0,0.5402843601895735,0.6757359500446031,0.5358851674641149,0.8533675289919714
biodeg,0,MNAR,0.65,kmeans_majority,1.0,0.5071090047393365,0.6527096342551294,0.48514851485148514,0.767506690454951
biodeg,0,MNAR,0.65,naive,1.0,0.6872037914691943,0.7569692239072257,0.7338709677419355,0.8487957181088315
biodeg,0,MNAR,0.7000000000000001,pseudo_labeling,1.0,0.44075829383886256,0.6118421052631579,0.3655913978494624,0.8055307760927743
biodeg,0,MNAR,0.7000000000000001,kmeans_majority,1.0,0.3459715639810427,0.5460526315789473,0.1686746987951807,0.3077051739518287
biodeg,0,MNAR,0.7000000000000001,naive,1.0,0.6729857819905213,0.7626561106155219,0.7112970711297071,0.8745539696699375
biodeg,0,MNAR,0.75,kmeans_majority,1.0,0.2796208530805687,0.5,0.0,0.5
biodeg,0,MNAR,0.75,naive,1.0,0.2796208530805687,0.5,0.0,0.26204281891168596
biodeg,0,MNAR,0.8,kmeans_majority,1.0,0.2796208530805687,0.5,0.0,0.5
biodeg,0,MNAR,0.8,naive,1.0,0.2796208530805687,0.5,0.0,0.2564674397859054
biodeg,0,MNAR,0.8500000000000001,kmeans_majority,1.0,0.2796208530805687,0.5,0.0,0.5
biodeg,0,MNAR,0.8500000000000001,naive,1.0,0.2796208530805687,0.5,0.0,0.24487065120428192
biodeg,1,,,oracle,1e-06,0.8341232227488151,0.8089758342922899,0.8727272727272727,0.9202148062907556
biodeg,1,MCAR,0.0,pseudo_labeling,1.0,0.8341232227488151,0.8089758342922899,0.8727272727272727,0.9202148062907556
biodeg,1,MCAR,0.0,kmeans_majority,1.0,0.8341232227488151,0.8089758342922899,0.8727272727272727,0.9202148062907556
